iShares Select Dividend ETF
Inception Date,"Nov 03, 2003"
Fund Holdings as of,"Aug 27, 2019"
Total Net Assets,"16,716,972,295.71"
Shares Outstanding,"174,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"T","AT&T INC","Equity","2.54","34.72","12,230,745.00","424,651,466.40","424,651,466.40","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"F","FORD MOTOR CO","Equity","2.32","8.76","44,349,514.00","388,501,742.64","388,501,742.64","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","2.08","73.97","4,714,499.00","348,731,491.03","348,731,491.03","Information Technology","2714923","US7475251036","NASDAQ"
"OKE","ONEOK INC","Equity","1.86","68.32","4,550,562.00","310,894,395.84","310,894,395.84","Energy","2130109","US6826801036","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.68","45.25","6,211,708.00","281,079,787.00","281,079,787.00","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","1.67","77.15","3,633,206.00","280,301,842.90","280,301,842.90","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"EIX","EDISON INTERNATIONAL","Equity","1.61","73.33","3,685,871.00","270,284,920.43","270,284,920.43","Utilities","2829515","US2810201077","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.59","104.70","2,548,957.00","266,875,797.90","266,875,797.90","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.58","112.10","2,355,553.00","264,057,491.30","264,057,491.30","Utilities","2317087","US29364G1031","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","1.55","11.36","22,876,716.00","259,879,493.76","259,879,493.76","Communication","2185046","US1567001060","New York Stock Exchange Inc."
"STX","SEAGATE TECHNOLOGY PLC","Equity","1.55","46.94","5,526,561.00","259,416,773.34","259,416,773.34","Information Technology","B58JVZ5","IE00B58JVZ52","NASDAQ"
"PPL","PPL CORP","Equity","1.54","29.18","8,815,540.00","257,237,457.20","257,237,457.20","Utilities","2680905","US69351T1060","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.53","51.91","4,941,338.00","256,504,855.58","256,504,855.58","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.45","131.17","1,846,031.00","242,143,886.27","242,143,886.27","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
